tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,note,velocity
16680,note_on,24,0,1,,,,,,,,,0,,82,0
16680,note_on,0,0,1,,,,,,,,,0,,74,100
16704,note_on,0,0,1,,,,,,,,,0,,75,100
16704,note_on,24,0,1,,,,,,,,,0,,74,0
16704,note_on,0,0,2,,,,,,,,,1,,48,100
16704,note_on,48,0,2,,,,,,,,,1,,58,0
16728,note_on,24,0,1,,,,,,,,,0,,75,0
16728,note_on,0,0,1,,,,,,,,,0,,67,100
16752,note_on,48,0,2,,,,,,,,,1,,48,0
16752,note_on,0,0,1,,,,,,,,,0,,75,100
16752,note_on,0,0,2,,,,,,,,,1,,50,100
16752,note_on,24,0,1,,,,,,,,,0,,67,0
16776,note_on,0,0,1,,,,,,,,,0,,67,100
16776,note_on,24,0,1,,,,,,,,,0,,75,0
16800,note_on,24,0,1,,,,,,,,,0,,67,0
16800,note_on,0,0,1,,,,,,,,,0,,75,100
16800,note_on,0,0,2,,,,,,,,,1,,51,100
16800,note_on,48,0,2,,,,,,,,,1,,50,0
16824,note_on,0,0,1,,,,,,,,,0,,67,100
16824,note_on,24,0,1,,,,,,,,,0,,75,0
16848,note_on,0,0,1,,,,,,,,,0,,69,100
16848,note_on,48,0,2,,,,,,,,,1,,51,0
16848,note_on,0,0,2,,,,,,,,,1,,53,100
16848,note_on,24,0,1,,,,,,,,,0,,67,0
16872,note_on,0,0,1,,,,,,,,,0,,75,100
16872,note_on,24,0,1,,,,,,,,,0,,69,0
16896,note_on,0,0,1,,,,,,,,,0,,77,100
16896,note_on,48,0,2,,,,,,,,,1,,53,0
16896,note_on,0,0,2,,,,,,,,,1,,57,100
16896,note_on,24,0,1,,,,,,,,,0,,75,0
16920,note_on,0,0,1,,,,,,,,,0,,75,100
16920,note_on,24,0,1,,,,,,,,,0,,77,0
16944,note_on,48,0,2,,,,,,,,,1,,57,0
16944,note_on,0,0,2,,,,,,,,,1,,53,100
16944,note_on,24,0,1,,,,,,,,,0,,75,0
16944,note_on,0,0,1,,,,,,,,,0,,74,100
16968,note_on,0,0,1,,,,,,,,,0,,72,100
16968,note_on,24,0,1,,,,,,,,,0,,74,0
16992,note_on,0,0,2,,,,,,,,,1,,58,100
16992,note_on,48,0,2,,,,,,,,,1,,53,0
16992,note_on,0,0,1,,,,,,,,,0,,74,100
16992,note_on,24,0,1,,,,,,,,,0,,72,0
17016,note_on,24,0,1,,,,,,,,,0,,74,0
17016,note_on,0,0,1,,,,,,,,,0,,67,100
17040,note_on,48,0,2,,,,,,,,,1,,58,0
17040,note_on,24,0,1,,,,,,,,,0,,67,0
17040,note_on,0,0,1,,,,,,,,,0,,79,100
17040,note_on,0,0,2,,,,,,,,,1,,51,100
17064,note_on,24,0,1,,,,,,,,,0,,79,0
17064,note_on,0,0,1,,,,,,,,,0,,78,100
17088,note_on,0,0,2,,,,,,,,,1,,48,100
17088,note_on,24,0,1,,,,,,,,,0,,78,0
17088,note_on,0,0,1,,,,,,,,,0,,79,100
17088,note_on,48,0,2,,,,,,,,,1,,51,0
17112,note_on,24,0,1,,,,,,,,,0,,79,0
17112,note_on,0,0,1,,,,,,,,,0,,81,100
17136,note_on,48,0,2,,,,,,,,,1,,48,0
17136,note_on,0,0,2,,,,,,,,,1,,50,100
17136,note_on,24,0,1,,,,,,,,,0,,81,0
17136,note_on,0,0,1,,,,,,,,,0,,78,100
17160,note_on,24,0,1,,,,,,,,,0,,78,0
17160,note_on,0,0,1,,,,,,,,,0,,74,100
17184,note_on,0,0,2,,,,,,,,,1,,62,100
17184,note_on,48,0,2,,,,,,,,,1,,50,0
17184,note_on,0,0,1,,,,,,,,,0,,76,100
17184,note_on,24,0,1,,,,,,,,,0,,74,0
17208,note_on,24,0,1,,,,,,,,,0,,76,0
17208,note_on,0,0,1,,,,,,,,,0,,78,100
17232,note_on,24,0,1,,,,,,,,,0,,78,0
17232,note_on,0,0,1,,,,,,,,,0,,79,100
17232,note_on,0,0,2,,,,,,,,,1,,54,100
17232,note_on,48,0,2,,,,,,,,,1,,62,0
17256,note_on,24,0,1,,,,,,,,,0,,79,0
17256,note_on,0,0,1,,,,,,,,,0,,81,100
17280,note_on,0,0,1,,,,,,,,,0,,82,100
17280,note_on,24,0,1,,,,,,,,,0,,81,0
17280,note_on,0,0,2,,,,,,,,,1,,55,100
17280,note_on,48,0,2,,,,,,,,,1,,54,0
17304,note_on,0,0,1,,,,,,,,,0,,74,100
17304,note_on,24,0,1,,,,,,,,,0,,82,0
17328,note_on,0,0,2,,,,,,,,,1,,43,100
17328,note_on,0,0,1,,,,,,,,,0,,75,100
17328,note_on,48,0,2,,,,,,,,,1,,55,0
17328,note_on,24,0,1,,,,,,,,,0,,74,0
17352,note_on,0,0,1,,,,,,,,,0,,82,100
17352,note_on,24,0,1,,,,,,,,,0,,75,0
17376,note_on,0,0,1,,,,,,,,,0,,81,100
17376,note_on,48,0,2,,,,,,,,,1,,43,0
17376,note_on,0,0,2,,,,,,,,,1,,53,100
17376,note_on,24,0,1,,,,,,,,,0,,82,0
17400,note_on,0,0,1,,,,,,,,,0,,74,100
17400,note_on,24,0,1,,,,,,,,,0,,81,0
17424,note_on,48,0,2,,,,,,,,,1,,53,0
17424,note_on,0,0,1,,,,,,,,,0,,79,100
17424,note_on,24,0,1,,,,,,,,,0,,74,0
17424,note_on,0,0,2,,,,,,,,,1,,51,100
17448,note_on,0,0,1,,,,,,,,,0,,72,100
17448,note_on,24,0,1,,,,,,,,,0,,79,0
17472,note_on,24,0,1,,,,,,,,,0,,72,0
17472,note_on,0,0,1,,,,,,,,,0,,74,100
17496,note_on,24,0,1,,,,,,,,,0,,74,0
17496,note_on,0,0,1,,,,,,,,,0,,72,100
17520,note_on,24,0,1,,,,,,,,,0,,72,0
17520,note_on,0,0,2,,,,,,,,,1,,50,100
17520,note_on,0,0,1,,,,,,,,,0,,77,100
17520,note_on,96,0,2,,,,,,,,,1,,51,0
17544,note_on,24,0,1,,,,,,,,,0,,77,0
17544,note_on,0,0,1,,,,,,,,,0,,70,100
17568,note_on,24,0,1,,,,,,,,,0,,70,0
17568,note_on,0,0,1,,,,,,,,,0,,75,100
17568,note_on,0,0,2,,,,,,,,,1,,48,100
17568,note_on,48,0,2,,,,,,,,,1,,50,0
17592,note_on,24,0,1,,,,,,,,,0,,75,0
17592,note_on,0,0,1,,,,,,,,,0,,68,100
17616,note_on,24,0,1,,,,,,,,,0,,68,0
17616,note_on,0,0,1,,,,,,,,,0,,70,100
