tick,type,time,control,value,channel,meta,track,program,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,data,tempo,note,velocity
12928,note_off,0,,,0,0,0,,,,,,,,71,64
12928,note_off,0,,,1,0,0,,,,,,,,64,64
12992,note_off,64,,,2,0,0,,,,,,,,40,64
13056,note_on,64,,,0,0,0,,,,,,,,81,75
13056,note_on,0,,,0,0,0,,,,,,,,73,75
13056,note_on,0,,,1,0,0,,,,,,,,64,75
13056,note_on,0,,,2,0,0,,,,,,,,45,75
13568,note_off,512,,,0,0,0,,,,,,,,81,64
13568,note_off,0,,,0,0,0,,,,,,,,73,64
13568,note_off,0,,,1,0,0,,,,,,,,64,64
13568,note_off,0,,,2,0,0,,,,,,,,45,64
13824,note_on,256,,,0,0,0,,,,,,,,78,75
13824,note_on,0,,,0,0,0,,,,,,,,74,75
13824,note_on,0,,,1,0,0,,,,,,,,69,75
13824,note_on,0,,,2,0,0,,,,,,,,50,75
14012,note_off,188,,,2,0,0,,,,,,,,50,64
14016,note_on,4,,,2,0,0,,,,,,,,50,75
14144,note_off,128,,,2,0,0,,,,,,,,50,64
14208,note_on,64,,,2,0,0,,,,,,,,50,75
14336,note_off,128,,,0,0,0,,,,,,,,78,64
14336,note_off,0,,,0,0,0,,,,,,,,74,64
14336,note_off,0,,,2,0,0,,,,,,,,50,64
14400,note_on,64,,,2,0,0,,,,,,,,50,75
14528,note_off,128,,,2,0,0,,,,,,,,50,64
14592,note_on,64,,,0,0,0,,,,,,,,76,75
14592,note_on,0,,,0,0,0,,,,,,,,73,75
14592,note_on,0,,,2,0,0,,,,,,,,57,75
14720,note_off,128,,,2,0,0,,,,,,,,57,64
14784,note_on,64,,,2,0,0,,,,,,,,45,75
14912,note_off,128,,,2,0,0,,,,,,,,45,64
14976,note_on,64,,,2,0,0,,,,,,,,45,75
15104,note_off,128,,,0,0,0,,,,,,,,76,64
15104,note_off,0,,,0,0,0,,,,,,,,73,64
15104,note_off,0,,,2,0,0,,,,,,,,45,64
15168,note_on,64,,,2,0,0,,,,,,,,45,75
15296,note_off,128,,,2,0,0,,,,,,,,45,64
15356,note_off,60,,,1,0,0,,,,,,,,69,64
15360,note_on,4,,,0,0,0,,,,,,,,78,75
15360,note_on,0,,,0,0,0,,,,,,,,74,75
15360,note_on,0,,,1,0,0,,,,,,,,69,75
15360,note_on,0,,,2,0,0,,,,,,,,50,75
15488,note_off,128,,,2,0,0,,,,,,,,50,64
15552,note_on,64,,,2,0,0,,,,,,,,50,75
15680,note_off,128,,,2,0,0,,,,,,,,50,64
15744,note_on,64,,,2,0,0,,,,,,,,50,75
15872,note_off,128,,,0,0,0,,,,,,,,78,64
15872,note_off,0,,,0,0,0,,,,,,,,74,64
15872,note_off,0,,,2,0,0,,,,,,,,50,64
15936,note_on,64,,,2,0,0,,,,,,,,50,75
16064,note_off,128,,,2,0,0,,,,,,,,50,64
16128,note_on,64,,,0,0,0,,,,,,,,76,75
16128,note_on,0,,,0,0,0,,,,,,,,73,75
16128,note_on,0,,,2,0,0,,,,,,,,57,75
16256,note_off,128,,,2,0,0,,,,,,,,57,64
16320,note_on,64,,,2,0,0,,,,,,,,45,75
16448,note_off,128,,,2,0,0,,,,,,,,45,64
16512,note_on,64,,,2,0,0,,,,,,,,45,75
16640,note_off,128,,,0,0,0,,,,,,,,76,64
16640,note_off,0,,,0,0,0,,,,,,,,73,64
16640,note_off,0,,,2,0,0,,,,,,,,45,64
16704,note_on,64,,,2,0,0,,,,,,,,45,75
16832,note_off,128,,,2,0,0,,,,,,,,45,64
16892,note_off,60,,,1,0,0,,,,,,,,69,64
16896,note_on,4,,,0,0,0,,,,,,,,78,75
16896,note_on,0,,,0,0,0,,,,,,,,74,75
16896,note_on,0,,,1,0,0,,,,,,,,69,75
16896,note_on,0,,,2,0,0,,,,,,,,50,75
17024,note_off,128,,,2,0,0,,,,,,,,50,64
17088,note_on,64,,,2,0,0,,,,,,,,50,75
17152,note_off,64,,,0,0,0,,,,,,,,78,64
17152,note_off,0,,,0,0,0,,,,,,,,74,64
17216,note_off,64,,,2,0,0,,,,,,,,50,64
17280,note_on,64,,,0,0,0,,,,,,,,81,75
17280,note_on,0,,,0,0,0,,,,,,,,78,75
17280,note_on,0,,,2,0,0,,,,,,,,50,75
17408,note_off,128,,,2,0,0,,,,,,,,50,64
17472,note_on,64,,,2,0,0,,,,,,,,50,75
17536,note_off,64,,,0,0,0,,,,,,,,81,64
