tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,data,program,channel,control,value,note,velocity
12720,note_on,,,,,0,0,0,,,,0,,,79,88
12720,note_on,,,,,0,0,0,,,,0,,,72,88
12872,note_on,,,,,152,0,0,,,,0,,,72,0
12960,note_on,,,,,88,0,0,,,,0,,,72,88
13112,note_on,,,,,152,0,0,,,,0,,,72,0
13200,note_on,,,,,88,0,0,,,,0,,,72,88
13352,note_on,,,,,152,0,0,,,,0,,,72,0
13382,note_on,,,,,30,0,0,,,,0,,,79,0
13382,note_on,,,,,0,0,0,,,,0,,,75,0
13440,note_on,,,,,58,0,0,,,,0,,,77,88
13440,note_on,,,,,0,0,0,,,,0,,,80,88
13440,note_on,,,,,0,0,0,,,,0,,,71,88
13580,note_on,,,,,140,0,0,,,,0,,,80,0
13580,note_on,,,,,0,0,0,,,,0,,,77,0
13592,note_on,,,,,12,0,0,,,,0,,,71,0
13680,note_on,,,,,88,0,0,,,,0,,,77,88
13680,note_on,,,,,0,0,0,,,,0,,,80,88
13680,note_on,,,,,0,0,0,,,,0,,,71,88
13832,note_on,,,,,152,0,0,,,,0,,,71,0
13920,note_on,,,,,88,0,0,,,,0,,,71,88
14060,note_on,,,,,140,0,0,,,,0,,,80,0
14060,note_on,,,,,0,0,0,,,,0,,,77,0
14072,note_on,,,,,12,0,0,,,,0,,,71,0
14160,note_on,,,,,88,0,0,,,,0,,,79,88
14160,note_on,,,,,0,0,0,,,,0,,,75,88
14160,note_on,,,,,0,0,0,,,,0,,,71,88
14270,note_on,,,,,110,0,0,,,,0,,,75,0
14270,note_on,,,,,0,0,0,,,,0,,,79,0
14280,note_on,,,,,10,0,0,,,,0,,,77,88
14280,note_on,,,,,0,0,0,,,,0,,,74,88
14312,note_on,,,,,32,0,0,,,,0,,,71,0
14390,note_on,,,,,78,0,0,,,,0,,,74,0
14390,note_on,,,,,0,0,0,,,,0,,,77,0
14400,note_on,,,,,10,0,0,,,,0,,,72,88
14400,note_on,,,,,0,0,0,,,,0,,,75,88
14400,note_on,,,,,0,0,0,,,,0,,,72,88
14552,note_on,,,,,152,0,0,,,,0,,,72,0
14620,note_on,,,,,68,0,0,,,,0,,,72,0
14620,note_on,,,,,0,0,0,,,,0,,,75,0
14640,note_on,,,,,20,0,0,,,,0,,,79,88
14640,note_on,,,,,0,0,0,,,,0,,,75,88
14640,note_on,,,,,0,0,0,,,,0,,,72,88
14792,note_on,,,,,152,0,0,,,,0,,,72,0
14880,note_on,,,,,88,0,0,,,,0,,,72,88
15032,note_on,,,,,152,0,0,,,,0,,,72,0
15120,note_on,,,,,88,0,0,,,,0,,,72,88
15272,note_on,,,,,152,0,0,,,,0,,,72,0
15302,note_on,,,,,30,0,0,,,,0,,,75,0
15302,note_on,,,,,0,0,0,,,,0,,,79,0
15360,note_on,,,,,58,0,0,,,,0,,,77,88
15360,note_on,,,,,0,0,0,,,,0,,,80,88
15360,note_on,,,,,0,0,0,,,,0,,,71,88
15520,note_on,,,,,160,0,0,,,,0,,,71,0
15580,note_on,,,,,60,0,0,,,,0,,,80,0
15580,note_on,,,,,0,0,0,,,,0,,,77,0
15600,note_on,,,,,20,0,0,,,,0,,,77,88
15600,note_on,,,,,0,0,0,,,,0,,,80,88
15600,note_on,,,,,0,0,0,,,,0,,,71,88
15760,note_on,,,,,160,0,0,,,,0,,,71,0
15840,note_on,,,,,80,0,0,,,,0,,,71,88
16000,note_on,,,,,160,0,0,,,,0,,,71,0
16041,note_on,,,,,41,0,0,,,,0,,,80,0
16041,note_on,,,,,0,0,0,,,,0,,,77,0
16080,note_on,,,,,39,0,0,,,,0,,,79,88
16080,note_on,,,,,0,0,0,,,,0,,,75,88
16080,note_on,,,,,0,0,0,,,,0,,,71,88
16190,note_on,,,,,110,0,0,,,,0,,,75,0
16190,note_on,,,,,0,0,0,,,,0,,,79,0
16200,note_on,,,,,10,0,0,,,,0,,,77,88
16200,note_on,,,,,0,0,0,,,,0,,,74,88
16240,note_on,,,,,40,0,0,,,,0,,,71,0
16310,note_on,,,,,70,0,0,,,,0,,,74,0
16310,note_on,,,,,0,0,0,,,,0,,,77,0
16320,note_on,,,,,10,0,0,,,,0,,,72,88
16320,note_on,,,,,0,0,0,,,,0,,,75,88
16320,note_on,,,,,0,0,0,,,,0,,,72,88
16480,note_on,,,,,160,0,0,,,,0,,,72,0
16540,note_on,,,,,60,0,0,,,,0,,,72,0
16540,note_on,,,,,0,0,0,,,,0,,,75,0
16560,note_on,,,,,20,0,0,,,,0,,,72,88
16560,note_on,,,,,0,0,0,,,,0,,,72,88
16720,note_on,,,,,160,0,0,,,,0,,,72,0
16800,note_on,,,,,80,0,0,,,,0,,,72,0
16800,note_on,,,,,0,0,0,,,,0,,,79,88
16800,note_on,,,,,0,0,0,,,,0,,,72,88
16960,note_on,,,,,160,0,0,,,,0,,,72,0
17020,note_on,,,,,60,0,0,,,,0,,,79,0
17040,note_on,,,,,20,0,0,,,,0,,,80,88
17040,note_on,,,,,0,0,0,,,,0,,,65,88
17200,note_on,,,,,160,0,0,,,,0,,,65,0
17260,note_on,,,,,60,0,0,,,,0,,,80,0
17280,note_on,,,,,20,0,0,,,,0,,,79,88
17280,note_on,,,,,0,0,0,,,,0,,,71,88
17280,note_on,,,,,0,0,0,,,,0,,,67,88
17500,note_on,,,,,220,0,0,,,,0,,,67,0
