tick,type,key,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,control,value,channel,note,velocity
17134,note_on,,2,0,1,,,,,,,,,,,,,,0,74,79
17150,note_on,,16,0,1,,,,,,,,,,,,,,0,65,24
17174,note_on,,24,0,1,,,,,,,,,,,,,,0,74,0
17200,note_on,,26,0,1,,,,,,,,,,,,,,0,76,54
17254,note_on,,54,0,1,,,,,,,,,,,,,,0,76,0
17266,note_on,,12,0,1,,,,,,,,,,,,,,0,74,41
17324,note_on,,58,0,1,,,,,,,,,,,,,,0,74,0
17336,note_on,,12,0,1,,,,,,,,,,,,,,0,76,47
17392,note_on,,56,0,1,,,,,,,,,,,,,,0,76,0
17406,note_on,,14,0,1,,,,,,,,,,,,,,0,74,57
17450,note_on,,44,0,1,,,,,,,,,,,,,,0,74,0
17470,note_on,,20,0,1,,,,,,,,,,,,,,0,76,49
17524,note_on,,54,0,1,,,,,,,,,,,,,,0,74,65
17530,note_on,,6,0,1,,,,,,,,,,,,,,0,76,0
17616,note_on,,86,0,1,,,,,,,,,,,,,,0,72,44
17620,note_on,,4,0,1,,,,,,,,,,,,,,0,74,0
17678,note_on,,58,0,1,,,,,,,,,,,,,,0,72,0
17838,note_on,,160,0,1,,,,,,,,,,,,,,0,69,0
17844,note_on,,6,0,1,,,,,,,,,,,,,,0,65,0
17850,note_on,,6,0,1,,,,,,,,,,,,,,0,72,53
17868,note_on,,18,0,1,,,,,,,,,,,,,,0,67,25
17882,note_on,,14,0,1,,,,,,,,,,,,,,0,64,29
17916,note_on,,34,0,1,,,,,,,,,,,,,,0,72,0
18098,note_on,,182,0,1,,,,,,,,,,,,,,0,84,54
18158,note_on,,60,0,1,,,,,,,,,,,,,,0,84,0
18330,note_on,,172,0,1,,,,,,,,,,,,,,0,72,52
18384,note_on,,54,0,1,,,,,,,,,,,,,,0,72,0
18566,note_on,,182,0,1,,,,,,,,,,,,,,0,74,61
18569,note_on,,3,0,1,,,,,,,,,,,,,,0,67,0
18569,note_on,,0,0,1,,,,,,,,,,,,,,0,69,24
18574,note_on,,5,0,1,,,,,,,,,,,,,,0,64,0
18602,note_on,,28,0,1,,,,,,,,,,,,,,0,65,13
18608,note_on,,6,0,1,,,,,,,,,,,,,,0,74,0
18628,note_on,,20,0,1,,,,,,,,,,,,,,0,76,45
18691,note_on,,63,0,1,,,,,,,,,,,,,,0,76,0
18698,note_on,,7,0,1,,,,,,,,,,,,,,0,74,32
