tick,type,time,meta,track,tempo,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,note,velocity,channel
13623,note_on,1,0,0,,,,,,72,127,0
13732,note_off,109,0,0,,,,,,72,127,0
13733,note_on,1,0,0,,,,,,67,127,0
13842,note_off,109,0,0,,,,,,67,127,0
13843,note_on,1,0,0,,,,,,63,127,0
13952,note_off,109,0,0,,,,,,63,127,0
13952,note_off,0,0,0,,,,,,48,127,0
13953,note_on,1,0,0,,,,,,60,127,0
14062,note_off,109,0,0,,,,,,60,127,0
14063,note_on,1,0,0,,,,,,75,127,0
14172,note_off,109,0,0,,,,,,75,127,0
14173,note_on,1,0,0,,,,,,74,127,0
14283,note_on,110,0,0,,,,,,67,127,0
14392,note_off,109,0,0,,,,,,67,127,0
14393,note_on,1,0,0,,,,,,62,127,0
14502,note_off,109,0,0,,,,,,62,127,0
14503,note_on,1,0,0,,,,,,59,127,0
14612,note_off,109,0,0,,,,,,59,127,0
14613,note_on,1,0,0,,,,,,55,127,0
14722,note_off,109,0,0,,,,,,55,127,0
14723,note_on,1,0,0,,,,,,50,127,0
14832,note_off,109,0,0,,,,,,50,127,0
14833,note_on,1,0,0,,,,,,43,127,0
14942,note_off,109,0,0,,,,,,43,127,0
14943,note_on,1,0,0,,,,,,53,127,0
15052,note_off,109,0,0,,,,,,53,127,0
15052,note_off,0,0,0,,,,,,74,127,0
15053,note_on,1,0,0,,,,,,51,127,0
15163,note_on,110,0,0,,,,,,79,127,0
15272,note_off,109,0,0,,,,,,79,127,0
15273,note_on,1,0,0,,,,,,75,127,0
15382,note_off,109,0,0,,,,,,75,127,0
15383,note_on,1,0,0,,,,,,72,127,0
15492,note_off,109,0,0,,,,,,72,127,0
15493,note_on,1,0,0,,,,,,67,127,0
15602,note_off,109,0,0,,,,,,67,127,0
15603,note_on,1,0,0,,,,,,63,127,0
15712,note_off,109,0,0,,,,,,63,127,0
15712,note_off,0,0,0,,,,,,51,127,0
15713,note_on,1,0,0,,,,,,60,127,0
15822,note_off,109,0,0,,,,,,60,127,0
15823,note_on,1,0,0,,,,,,75,127,0
15932,note_off,109,0,0,,,,,,75,127,0
15933,note_on,1,0,0,,,,,,74,127,0
16043,note_on,110,0,0,,,,,,67,127,0
16152,note_off,109,0,0,,,,,,67,127,0
16153,note_on,1,0,0,,,,,,62,127,0
16262,note_off,109,0,0,,,,,,62,127,0
16263,note_on,1,0,0,,,,,,59,127,0
16372,note_off,109,0,0,,,,,,59,127,0
16373,note_on,1,0,0,,,,,,55,127,0
16482,note_off,109,0,0,,,,,,55,127,0
16483,note_on,1,0,0,,,,,,50,127,0
16592,note_off,109,0,0,,,,,,50,127,0
16593,note_on,1,0,0,,,,,,43,127,0
16702,note_off,109,0,0,,,,,,43,127,0
16703,note_on,1,0,0,,,,,,53,127,0
16812,note_off,109,0,0,,,,,,53,127,0
16812,note_off,0,0,0,,,,,,74,127,0
16813,note_on,1,0,0,,,,,,51,127,0
16923,note_on,110,0,0,,,,,,60,127,0
17032,note_off,109,0,0,,,,,,60,127,0
17033,note_on,1,0,0,,,,,,63,127,0
17142,note_off,109,0,0,,,,,,63,127,0
17143,note_on,1,0,0,,,,,,67,127,0
17252,note_off,109,0,0,,,,,,67,127,0
17253,note_on,1,0,0,,,,,,72,127,0
17362,note_off,109,0,0,,,,,,72,127,0
17363,note_on,1,0,0,,,,,,75,127,0
17472,note_off,109,0,0,,,,,,75,127,0
17473,note_on,1,0,0,,,,,,79,127,0
17582,note_off,109,0,0,,,,,,79,127,0
17583,note_on,1,0,0,,,,,,84,127,0
17692,note_off,109,0,0,,,,,,84,127,0
17692,note_off,0,0,0,,,,,,51,127,0
17693,note_on,1,0,0,,,,,,80,127,0
17803,note_on,110,0,0,,,,,,53,127,0
17912,note_off,109,0,0,,,,,,53,127,0
17913,note_on,1,0,0,,,,,,56,127,0
18022,note_off,109,0,0,,,,,,56,127,0
18023,note_on,1,0,0,,,,,,60,127,0
