tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity,control,value
25437,control_change,,,,,2439,0,2,,,0,,,64,64
25545,note_off,,,,,120,0,1,,,0,64,64,,
25553,note_on,,,,,8,0,1,,,0,72,39,,
25590,control_change,,,,,153,0,2,,,0,,,64,96
25679,note_on,,,,,126,0,1,,,0,62,33,,
25689,note_off,,,,,10,0,1,,,0,72,64,,
25806,note_off,,,,,117,0,1,,,0,62,64,,
25812,note_on,,,,,6,0,1,,,0,71,37,,
25928,note_on,,,,,116,0,1,,,0,64,41,,
25939,note_off,,,,,11,0,1,,,0,71,64,,
26024,control_change,,,,,434,0,2,,,0,,,64,127
26053,note_off,,,,,114,0,1,,,0,64,64,,
26059,note_on,,,,,6,0,1,,,0,72,32,,
26174,note_off,,,,,115,0,1,,,0,72,64,,
26183,note_on,,,,,9,0,1,,,0,62,32,,
26294,note_off,,,,,111,0,1,,,0,62,64,,
26294,note_on,,,,,0,0,1,,,0,71,36,,
26414,note_on,,,,,120,0,1,,,0,60,37,,
26447,note_off,,,,,33,0,1,,,0,71,64,,
26548,note_on,,,,,101,0,1,,,0,69,32,,
26595,note_off,,,,,47,0,1,,,0,60,64,,
26664,note_on,,,,,69,0,1,,,0,68,35,,
26688,note_off,,,,,24,0,1,,,0,69,64,,
26873,note_off,,,,,185,0,1,,,0,68,64,,
26883,control_change,,,,,859,0,2,,,0,,,64,96
26892,note_on,,,,,19,0,1,,,0,69,60,,
26905,control_change,,,,,22,0,2,,,0,,,64,64
26932,control_change,,,,,27,0,2,,,0,,,64,0
27000,note_on,,,,,68,0,2,,,0,53,54,,
27129,note_on,,,,,237,0,1,,,0,71,60,,
27140,note_off,,,,,11,0,1,,,0,69,64,,
27180,note_off,,,,,180,0,2,,,0,53,64,,
27240,note_on,,,,,60,0,2,,,0,62,32,,
27330,note_off,,,,,90,0,2,,,0,62,64,,
27360,note_on,,,,,30,0,2,,,0,52,52,,
27366,note_off,,,,,226,0,1,,,0,71,64,,
27366,note_on,,,,,0,0,1,,,0,72,55,,
27374,note_on,,,,,8,0,1,,,0,69,45,,
27450,note_off,,,,,90,0,2,,,0,52,64,,
27480,note_on,,,,,30,0,2,,,0,60,39,,
27564,note_off,,,,,190,0,1,,,0,69,64,,
27570,note_off,,,,,90,0,2,,,0,60,64,,
27579,note_off,,,,,15,0,1,,,0,72,64,,
27584,note_on,,,,,5,0,1,,,0,74,53,,
27590,note_on,,,,,6,0,1,,,0,71,53,,
27600,note_on,,,,,30,0,2,,,0,50,50,,
27690,note_off,,,,,90,0,2,,,0,50,64,,
27720,note_on,,,,,30,0,2,,,0,59,45,,
27810,note_off,,,,,90,0,2,,,0,59,64,,
27813,note_off,,,,,223,0,1,,,0,74,64,,
27831,note_on,,,,,0,0,1,,,0,76,60,,
27831,note_on,,,,,18,0,1,,,0,72,60,,
27840,note_on,,,,,30,0,2,,,0,48,39,,
27846,note_off,,,,,15,0,1,,,0,71,64,,
27872,note_off,,,,,26,0,1,,,0,76,64,,
27876,note_off,,,,,4,0,1,,,0,72,64,,
27930,note_off,,,,,90,0,2,,,0,48,64,,
27960,note_on,,,,,30,0,2,,,0,57,39,,
28050,note_off,,,,,90,0,2,,,0,57,64,,
28057,note_on,,,,,181,0,1,,,0,77,63,,
28064,note_on,,,,,7,0,1,,,0,68,49,,
28080,note_on,,,,,30,0,2,,,0,50,41,,
28170,note_off,,,,,90,0,2,,,0,50,64,,
28197,note_off,,,,,133,0,1,,,0,68,64,,
28200,note_on,,,,,30,0,2,,,0,59,38,,
28290,note_off,,,,,90,0,2,,,0,59,64,,
28298,note_on,,,,,101,0,1,,,0,76,60,,
28305,note_off,,,,,7,0,1,,,0,77,64,,
28305,note_on,,,,,0,0,1,,,0,69,50,,
28320,note_on,,,,,30,0,2,,,0,48,44,,
28379,note_off,,,,,74,0,1,,,0,76,64,,
28410,note_off,,,,,90,0,2,,,0,48,64,,
28440,note_on,,,,,30,0,2,,,0,57,41,,
