tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,tempo,key,control,value,channel,program,note,velocity
56780,control_change,20,0,12,,,,,,,7,98,10,,,
56780,control_change,20,0,10,,,,,,,7,67,8,,,
56800,control_change,20,0,9,,,,,,,7,93,7,,,
56800,control_change,20,0,10,,,,,,,7,69,8,,,
56800,note_on,40,0,2,,,,,,,,,1,,60,96
56800,control_change,20,0,6,,,,,,,7,55,11,,,
56800,note_on,195,0,1,,,,,,,,,2,,58,96
56800,control_change,20,0,12,,,,,,,7,100,10,,,
56820,control_change,60,0,7,,,,,,,7,84,4,,,
56820,control_change,60,0,5,,,,,,,7,104,3,,,
56840,control_change,40,0,9,,,,,,,7,94,7,,,
56840,control_change,40,0,12,,,,,,,7,101,10,,,
56840,control_change,140,0,4,,,,,,,7,109,12,,,
56860,control_change,60,0,6,,,,,,,7,56,11,,,
56860,control_change,60,0,10,,,,,,,7,70,8,,,
56870,note_off,30,0,9,,,,,,,,,7,,81,115
56880,control_change,40,0,4,,,,,,,7,110,12,,,
56880,note_on,0,0,4,,,,,,,,,12,,64,100
56880,control_change,40,0,12,,,,,,,7,102,10,,,
56880,note_off,0,0,12,,,,,,,,,10,,53,74
56880,note_on,0,0,12,,,,,,,,,10,,52,74
56880,note_off,0,0,4,,,,,,,,,12,,65,100
56880,note_on,0,0,5,,,,,,,,,3,,52,74
56880,note_on,0,0,3,,,,,,,,,0,,64,100
56880,note_off,120,0,3,,,,,,,,,0,,65,100
56880,note_on,0,0,9,,,,,,,,,7,,79,87
56880,control_change,10,0,9,,,,,,,7,96,7,,,
56880,note_off,60,0,5,,,,,,,,,3,,53,74
56880,note_off,240,0,8,,,,,,,,,6,,77,100
56880,note_on,0,0,8,,,,,,,,,6,,76,100
56900,control_change,40,0,10,,,,,,,7,73,8,,,
56900,control_change,80,0,7,,,,,,,7,86,4,,,
56900,control_change,20,0,3,,,,,,,7,91,0,,,
56900,control_change,40,0,6,,,,,,,7,58,11,,,
56900,control_change,100,0,2,,,,,,,7,91,1,,,
56900,control_change,20,0,5,,,,,,,7,106,3,,,
56900,control_change,20,0,12,,,,,,,7,104,10,,,
56920,control_change,20,0,6,,,,,,,7,59,11,,,
56920,control_change,20,0,2,,,,,,,7,93,1,,,
56920,control_change,20,0,10,,,,,,,7,74,8,,,
56920,control_change,20,0,3,,,,,,,7,93,0,,,
56925,note_off,125,0,1,,,,,,,,,2,,58,96
56925,note_off,5,0,2,,,,,,,,,1,,60,96
56940,control_change,40,0,12,,,,,,,7,105,10,,,
56940,control_change,40,0,5,,,,,,,7,107,3,,,
56940,control_change,40,0,7,,,,,,,7,87,4,,,
56940,control_change,0,0,12,,,,,,,7,107,10,,,
56960,control_change,20,0,12,,,,,,,7,108,10,,,
56960,control_change,80,0,9,,,,,,,7,97,7,,,
56960,note_on,35,0,1,,,,,,,,,2,,60,96
56960,note_on,35,0,2,,,,,,,,,1,,64,96
56980,control_change,60,0,6,,,,,,,7,61,11,,,
56980,control_change,0,0,12,,,,,,,7,111,10,,,
56980,control_change,60,0,10,,,,,,,7,77,8,,,
56980,control_change,20,0,12,,,,,,,7,110,10,,,
57000,control_change,20,0,6,,,,,,,7,62,11,,,
57000,control_change,20,0,10,,,,,,,7,78,8,,,
57000,control_change,20,0,12,,,,,,,7,113,10,,,
57020,control_change,0,0,12,,,,,,,7,115,10,,,
57020,control_change,20,0,12,,,,,,,7,114,10,,,
57040,control_change,20,0,12,,,,,,,7,117,10,,,
57060,control_change,140,0,3,,,,,,,7,94,0,,,
57060,control_change,100,0,2,,,,,,,7,94,1,,,
57085,note_off,125,0,1,,,,,,,,,2,,60,96
57085,note_off,25,0,2,,,,,,,,,1,,64,96
57100,control_change,220,0,4,,,,,,,7,109,12,,,
57106,note_off,146,0,9,,,,,,,,,7,,79,87
57120,note_off,60,0,3,,,,,,,,,0,,64,100
57120,note_on,0,0,3,,,,,,,,,0,,62,100
57120,note_off,180,0,5,,,,,,,,,3,,52,74
57120,note_on,0,0,5,,,,,,,,,3,,50,74
57120,note_on,0,0,4,,,,,,,,,12,,62,100
57120,note_off,0,0,4,,,,,,,,,12,,64,100
57120,control_change,20,0,4,,,,,,,7,107,12,,,
57120,note_on,0,0,12,,,,,,,,,10,,50,74
57120,note_off,80,0,12,,,,,,,,,10,,52,74
57120,control_change,120,0,10,,,,,,,7,79,8,,,
57120,control_change,120,0,6,,,,,,,7,63,11,,,
57120,note_on,0,0,8,,,,,,,,,6,,74,100
57120,note_on,35,0,1,,,,,,,,,2,,64,96
57120,note_on,35,0,2,,,,,,,,,1,,67,96
57120,note_off,240,0,8,,,,,,,,,6,,76,100
57140,control_change,20,0,10,,,,,,,7,82,8,,,
57140,control_change,20,0,6,,,,,,,7,65,11,,,
57143,note_on,37,0,9,,,,,,,,,7,,77,79
57160,control_change,40,0,5,,,,,,,7,110,3,,,
57160,control_change,220,0,7,,,,,,,7,89,4,,,
57180,control_change,37,0,9,,,,,,,7,99,7,,,
57180,control_change,0,0,9,,,,,,,7,100,7,,,
57180,control_change,60,0,12,,,,,,,7,118,10,,,
57200,control_change,20,0,12,,,,,,,7,120,10,,,
57200,control_change,20,0,9,,,,,,,7,101,7,,,
