tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,data,tempo,control,value,channel,program,key,note,velocity,pitch
57744,note_off,,,,,320,0,11,,,,,10,,,62,0,
57744,note_off,,,,,0,0,11,,,,,10,,,59,0,
57744,control_change,,,,,16,0,12,,,11,59,11,,,,,
57744,note_off,,,,,320,0,3,,,,,2,,,74,0,
57744,note_off,,,,,0,0,3,,,,,2,,,71,0,
57752,control_change,,,,,8,0,12,,,11,58,11,,,,,
57768,control_change,,,,,16,0,12,,,11,57,11,,,,,
57776,control_change,,,,,8,0,12,,,11,56,11,,,,,
57784,control_change,,,,,8,0,12,,,11,55,11,,,,,
57792,note_on,,,,,8,0,12,,,,,11,,,55,70,
57808,note_on,,,,,0,0,11,,,,,10,,,59,14,
57808,note_on,,,,,64,0,11,,,,,10,,,62,24,
57808,note_on,,,,,64,0,3,,,,,2,,,74,24,
57808,note_on,,,,,0,0,3,,,,,2,,,71,14,
57872,note_off,,,,,80,0,12,,,,,11,,,50,0,
57968,note_off,,,,,0,0,3,,,,,2,,,71,0,
57968,note_off,,,,,160,0,3,,,,,2,,,74,0,
57968,note_off,,,,,0,0,11,,,,,10,,,59,0,
57968,note_off,,,,,160,0,11,,,,,10,,,62,0,
57984,control_change,,,,,112,0,12,,,11,65,11,,,,,
57984,control_change,,,,,0,0,12,,,11,64,11,,,,,
57992,control_change,,,,,0,0,12,,,11,63,11,,,,,
57992,note_off,,,,,8,0,12,,,,,11,,,55,0,
58000,note_on,,,,,768,0,13,,,,,12,,,40,44,
58000,control_change,,,,,8,0,12,,,11,61,11,,,,,
58008,note_on,,,,,8,0,12,,,,,11,,,56,72,
58016,control_change,,,,,8,0,12,,,11,60,11,,,,,
58024,control_change,,,,,8,0,12,,,11,59,11,,,,,
58032,control_change,,,,,8,0,12,,,11,58,11,,,,,
58080,control_change,,,,,48,0,12,,,11,59,11,,,,,
58088,control_change,,,,,8,0,12,,,11,60,11,,,,,
58096,control_change,,,,,8,0,12,,,11,61,11,,,,,
58104,control_change,,,,,8,0,12,,,11,62,11,,,,,
58112,control_change,,,,,8,0,12,,,11,64,11,,,,,
58120,control_change,,,,,8,0,12,,,11,65,11,,,,,
58128,control_change,,,,,8,0,12,,,11,67,11,,,,,
58136,control_change,,,,,8,0,12,,,11,68,11,,,,,
58144,control_change,,,,,8,0,12,,,11,70,11,,,,,
58152,control_change,,,,,8,0,12,,,11,71,11,,,,,
58160,control_change,,,,,8,0,12,,,11,72,11,,,,,
58168,control_change,,,,,8,0,12,,,11,73,11,,,,,
58192,note_on,,,,,0,0,3,,,,,2,,,76,14,
58192,note_on,,,,,224,0,11,,,,,10,,,62,24,
58192,note_on,,,,,0,0,11,,,,,10,,,64,14,
58192,note_on,,,,,224,0,3,,,,,2,,,74,24,
58216,control_change,,,,,48,0,12,,,11,72,11,,,,,
58224,control_change,,,,,8,0,12,,,11,71,11,,,,,
58232,control_change,,,,,8,0,12,,,11,70,11,,,,,
58240,control_change,,,,,8,0,12,,,11,69,11,,,,,
58248,control_change,,,,,8,0,12,,,11,67,11,,,,,
58256,control_change,,,,,8,0,12,,,11,65,11,,,,,
58264,note_on,,,,,8,0,12,,,,,11,,,57,77,
58288,note_off,,,,,24,0,12,,,,,11,,,56,0,
58368,control_change,,,,,80,0,12,,,11,65,11,,,,,
58368,note_on,,,,,0,0,12,,,,,11,,,59,71,
58384,note_off,,,,,384,0,13,,,,,12,,,40,0,
58384,control_change,,,,,16,0,12,,,11,64,11,,,,,
58392,control_change,,,,,8,0,12,,,11,63,11,,,,,
58400,control_change,,,,,8,0,12,,,11,62,11,,,,,
58408,note_off,,,,,8,0,12,,,,,11,,,57,0,
58408,control_change,,,,,0,0,12,,,11,61,11,,,,,
58424,control_change,,,,,16,0,12,,,11,60,11,,,,,
