tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,tempo,program,channel,note,velocity
17040,note_on,,,,,336,0,1,,,0,70,80
17232,note_off,,,,,192,0,1,,,0,70,64
17280,note_on,,,,,48,0,1,,,0,70,80
17280,note_on,,,,,0,0,2,,,1,58,80
17280,note_on,,,,,0,0,2,,,1,70,80
17280,note_on,,,,,0,0,2,,,1,70,80
17280,note_on,,,,,288,0,2,,,1,58,80
17568,note_off,,,,,288,0,1,,,0,70,64
17640,note_on,,,,,72,0,1,,,0,70,80
17736,note_off,,,,,96,0,1,,,0,70,64
17760,note_on,,,,,24,0,1,,,0,70,80
17856,note_off,,,,,576,0,2,,,1,58,64
17856,note_off,,,,,0,0,2,,,1,70,64
17856,note_off,,,,,96,0,1,,,0,70,64
17880,note_on,,,,,24,0,1,,,0,68,80
17880,note_on,,,,,0,0,2,,,1,68,80
17880,note_on,,,,,24,0,2,,,1,56,80
17976,note_off,,,,,96,0,1,,,0,68,64
17976,note_off,,,,,96,0,2,,,1,68,64
17976,note_off,,,,,0,0,2,,,1,56,64
18000,note_on,,,,,0,0,2,,,1,66,80
18000,note_on,,,,,24,0,2,,,1,54,80
18000,note_on,,,,,24,0,1,,,0,66,80
18048,note_off,,,,,48,0,2,,,1,70,64
18048,note_off,,,,,0,0,2,,,1,58,64
18096,note_off,,,,,48,0,2,,,1,66,64
18096,note_off,,,,,96,0,1,,,0,66,64
18096,note_off,,,,,0,0,2,,,1,54,64
18120,note_on,,,,,0,0,2,,,1,65,80
18120,note_on,,,,,24,0,1,,,0,65,80
18120,note_on,,,,,24,0,2,,,1,53,80
18216,note_off,,,,,96,0,2,,,1,65,64
18216,note_off,,,,,0,0,2,,,1,53,64
18216,note_off,,,,,96,0,1,,,0,65,64
18240,note_on,,,,,24,0,1,,,0,65,80
18240,note_on,,,,,24,0,2,,,1,65,80
18240,note_on,,,,,0,0,2,,,1,53,80
18240,note_on,,,,,0,0,2,,,1,71,80
18240,note_on,,,,,0,0,2,,,1,59,80
18432,note_off,,,,,0,0,2,,,1,65,64
18432,note_off,,,,,192,0,1,,,0,65,64
18432,note_off,,,,,192,0,2,,,1,53,64
18480,note_on,,,,,48,0,2,,,1,51,80
18480,note_on,,,,,0,0,2,,,1,63,80
18480,note_on,,,,,48,0,1,,,0,63,80
18816,note_off,,,,,336,0,2,,,1,59,64
18816,note_off,,,,,0,0,2,,,1,71,64
18864,note_off,,,,,384,0,1,,,0,63,64
18864,note_off,,,,,48,0,2,,,1,63,64
18864,note_off,,,,,0,0,2,,,1,51,64
18960,note_on,,,,,0,0,2,,,1,59,80
18960,note_on,,,,,96,0,2,,,1,71,80
18960,note_on,,,,,0,0,2,,,1,50,80
18960,note_on,,,,,0,0,2,,,1,54,80
18960,note_on,,,,,0,0,2,,,1,66,80
18960,note_on,,,,,96,0,1,,,0,66,80
19152,note_off,,,,,192,0,2,,,1,66,64
19152,note_off,,,,,0,0,2,,,1,50,64
19152,note_off,,,,,0,0,2,,,1,54,64
19152,note_off,,,,,0,0,2,,,1,59,64
19152,note_off,,,,,192,0,1,,,0,66,64
19152,note_off,,,,,0,0,2,,,1,71,64
19200,note_on,,,,,0,0,2,,,1,66,80
19200,note_on,,,,,48,0,2,,,1,71,80
19200,note_on,,,,,0,0,2,,,1,49,80
19200,note_on,,,,,0,0,2,,,1,59,80
19200,note_on,,,,,48,0,1,,,0,71,80
19200,note_on,,,,,0,0,2,,,1,56,80
19392,note_off,,,,,192,0,1,,,0,71,64
19392,note_off,,,,,192,0,2,,,1,66,64
19440,note_on,,,,,48,0,1,,,0,71,80
19440,note_on,,,,,48,0,2,,,1,65,80
19536,note_off,,,,,96,0,2,,,1,65,64
19536,note_off,,,,,96,0,1,,,0,71,64
19560,note_on,,,,,24,0,2,,,1,63,80
19560,note_on,,,,,24,0,1,,,0,71,80
19656,note_off,,,,,96,0,2,,,1,63,64
19656,note_off,,,,,96,0,1,,,0,71,64
19680,note_on,,,,,24,0,2,,,1,65,80
19680,note_on,,,,,24,0,1,,,0,71,80
19704,note_off,,,,,24,0,1,,,0,71,64
19710,note_on,,,,,6,0,1,,,0,73,80
19734,note_off,,,,,24,0,1,,,0,73,64
19740,note_on,,,,,6,0,1,,,0,71,80
19764,note_off,,,,,24,0,1,,,0,71,64
19770,note_on,,,,,6,0,1,,,0,70,80
19794,note_off,,,,,24,0,1,,,0,70,64
19800,note_on,,,,,6,0,1,,,0,70,80
19896,note_off,,,,,96,0,1,,,0,70,64
19920,note_on,,,,,24,0,1,,,0,71,80
19968,note_off,,,,,0,0,2,,,1,71,64
19968,note_off,,,,,0,0,2,,,1,49,64
19968,note_off,,,,,0,0,2,,,1,59,64
19968,note_off,,,,,288,0,2,,,1,65,64
19968,note_off,,,,,0,0,2,,,1,56,64
20016,note_off,,,,,96,0,1,,,0,71,64
20040,note_on,,,,,24,0,1,,,0,73,80
20040,note_on,,,,,72,0,2,,,1,68,80
20136,note_off,,,,,96,0,1,,,0,73,64
20136,note_off,,,,,96,0,2,,,1,68,64
20160,note_on,,,,,0,0,2,,,1,58,80
20160,note_on,,,,,0,0,2,,,1,54,80
20160,note_on,,,,,24,0,1,,,0,70,80
20160,note_on,,,,,24,0,2,,,1,66,80
20160,note_on,,,,,0,0,2,,,1,70,80
20448,note_off,,,,,0,0,2,,,1,70,64
20448,note_off,,,,,0,0,2,,,1,66,64
20448,note_off,,,,,0,0,2,,,1,54,64
20448,note_off,,,,,288,0,2,,,1,58,64
20544,note_off,,,,,384,0,1,,,0,70,64
20580,note_on,,,,,132,0,2,,,1,61,80
20580,note_on,,,,,0,0,2,,,1,58,80
20580,note_on,,,,,0,0,2,,,1,73,80
20580,note_on,,,,,0,0,2,,,1,70,80
20628,note_off,,,,,48,0,2,,,1,70,64
20628,note_off,,,,,0,0,2,,,1,73,64
20628,note_off,,,,,0,0,2,,,1,58,64
