tick,type,time,meta,track,frame_rate,hours,minutes,seconds,frames,sub_frames,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,note,velocity
153600,set_tempo,480,1,0,,,,,,,,,,,,413793,,,,,,,
153600,note_on,291,0,2,,,,,,,,,,,,,,,0,,,43,0
153600,note_on,0,0,2,,,,,,,,,,,,,,,0,,,47,50
153600,note_on,0,0,2,,,,,,,,,,,,,,,0,,,35,42
153600,note_on,0,0,2,,,,,,,,,,,,,,,0,,,31,0
153600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,55,50
153600,note_on,0,0,1,,,,,,,,,,,,,,,0,,,91,0
153690,note_on,0,0,2,,,,,,,,,,,,,,,0,,,35,0
153690,note_on,90,0,2,,,,,,,,,,,,,,,0,,,47,0
153720,note_on,120,0,1,,,,,,,,,,,,,,,0,,,67,46
153740,note_on,20,0,1,,,,,,,,,,,,,,,0,,,55,0
153840,note_on,150,0,2,,,,,,,,,,,,,,,0,,,38,43
153840,set_tempo,240,1,0,,,,,,,,,,,,406780,,,,,,,
153840,note_on,0,0,2,,,,,,,,,,,,,,,0,,,50,51
153840,note_on,100,0,1,,,,,,,,,,,,,,,0,,,62,46
153860,note_on,20,0,1,,,,,,,,,,,,,,,0,,,67,0
153930,note_on,90,0,2,,,,,,,,,,,,,,,0,,,50,0
153930,note_on,0,0,2,,,,,,,,,,,,,,,0,,,38,0
153960,note_on,100,0,1,,,,,,,,,,,,,,,0,,,59,46
153980,note_on,20,0,1,,,,,,,,,,,,,,,0,,,62,0
154080,note_on,100,0,1,,,,,,,,,,,,,,,0,,,62,50
154080,note_on,150,0,2,,,,,,,,,,,,,,,0,,,43,45
154080,note_on,0,0,2,,,,,,,,,,,,,,,0,,,55,53
154100,note_on,20,0,1,,,,,,,,,,,,,,,0,,,59,0
154170,note_on,90,0,2,,,,,,,,,,,,,,,0,,,55,0
154170,note_on,0,0,2,,,,,,,,,,,,,,,0,,,43,0
154200,note_on,100,0,1,,,,,,,,,,,,,,,0,,,74,46
154220,note_on,20,0,1,,,,,,,,,,,,,,,0,,,62,0
154320,note_on,100,0,1,,,,,,,,,,,,,,,0,,,71,46
154320,note_on,0,0,2,,,,,,,,,,,,,,,0,,,53,51
154320,note_on,150,0,2,,,,,,,,,,,,,,,0,,,41,43
154340,note_on,20,0,1,,,,,,,,,,,,,,,0,,,74,0
154410,note_on,0,0,2,,,,,,,,,,,,,,,0,,,41,0
154410,note_on,90,0,2,,,,,,,,,,,,,,,0,,,53,0
154440,note_on,100,0,1,,,,,,,,,,,,,,,0,,,67,46
154460,note_on,20,0,1,,,,,,,,,,,,,,,0,,,71,0
154560,note_on,100,0,1,,,,,,,,,,,,,,,0,,,72,51
154560,note_on,0,0,1,,,,,,,,,,,,,,,0,,,76,51
154560,note_on,0,0,2,,,,,,,,,,,,,,,0,,,52,52
154560,note_on,150,0,2,,,,,,,,,,,,,,,0,,,40,44
154560,set_tempo,720,1,0,,,,,,,,,,,,412371,,,,,,,
154580,note_on,20,0,1,,,,,,,,,,,,,,,0,,,67,0
154650,note_on,0,0,2,,,,,,,,,,,,,,,0,,,40,0
154650,note_on,90,0,2,,,,,,,,,,,,,,,0,,,52,0
154680,note_on,100,0,1,,,,,,,,,,,,,,,0,,,64,47
154700,note_on,0,0,1,,,,,,,,,,,,,,,0,,,72,0
154700,note_on,20,0,1,,,,,,,,,,,,,,,0,,,76,0
154800,note_on,150,0,2,,,,,,,,,,,,,,,0,,,36,42
154800,note_on,100,0,1,,,,,,,,,,,,,,,0,,,74,51
154800,note_on,0,0,1,,,,,,,,,,,,,,,0,,,77,51
