tick,type,tempo,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,port,control,value,channel,program,data,note,velocity,pitch
7996,control_change,,1,0,1,,,,,,,11,81,0,,,,,
7996,note_on,,4,0,5,,,,,,,,,4,,,59,0,
7996,note_on,,0,0,5,,,,,,,,,4,,,68,0,
7996,control_change,,0,0,5,,,,,,,11,81,4,,,,,
7997,control_change,,2,0,2,,,,,,,11,82,1,,,,,
7997,control_change,,2,0,3,,,,,,,11,82,2,,,,,
7998,control_change,,4,0,4,,,,,,,11,80,3,,,,,
7998,control_change,,1,0,3,,,,,,,11,83,2,,,,,
7998,control_change,,2,0,1,,,,,,,11,82,0,,,,,
7998,control_change,,1,0,2,,,,,,,11,83,1,,,,,
7999,control_change,,1,0,1,,,,,,,11,83,0,,,,,
8000,control_change,,2,0,2,,,,,,,11,84,1,,,,,
8000,control_change,,2,0,3,,,,,,,11,84,2,,,,,
8000,control_change,,4,0,5,,,,,,,11,80,4,,,,,
8001,control_change,,1,0,2,,,,,,,11,85,1,,,,,
8001,control_change,,2,0,1,,,,,,,11,84,0,,,,,
8001,control_change,,1,0,3,,,,,,,11,85,2,,,,,
8002,control_change,,4,0,4,,,,,,,11,79,3,,,,,
8002,control_change,,1,0,1,,,,,,,11,85,0,,,,,
8003,control_change,,2,0,2,,,,,,,11,86,1,,,,,
8003,control_change,,2,0,3,,,,,,,11,86,2,,,,,
8004,control_change,,4,0,5,,,,,,,11,79,4,,,,,
8004,control_change,,2,0,1,,,,,,,11,86,0,,,,,
8004,control_change,,1,0,2,,,,,,,11,87,1,,,,,
8004,control_change,,1,0,3,,,,,,,11,87,2,,,,,
8005,control_change,,1,0,1,,,,,,,11,87,0,,,,,
8006,control_change,,4,0,4,,,,,,,11,78,3,,,,,
8006,control_change,,2,0,3,,,,,,,11,88,2,,,,,
