tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,pitch,note,velocity
17321,control_change,30,0,10,,,,,,,,,14,11,63,,,
17340,control_change,0,0,6,,,,,,,,,10,11,64,,,
17340,note_on,30,0,6,,,,,,,,,10,,,,70,0
17342,note_on,30,0,1,,,,,,,,,0,,,,82,0
17342,control_change,0,0,1,,,,,,,,,0,11,62,,,
17343,control_change,0,0,7,,,,,,,,,11,11,64,,,
17343,note_on,30,0,7,,,,,,,,,11,,,,58,0
17345,control_change,0,0,8,,,,,,,,,12,11,64,,,
17345,control_change,0,0,2,,,,,,,,,1,11,62,,,
17345,note_on,30,0,2,,,,,,,,,1,,,,70,0
17345,note_on,30,0,8,,,,,,,,,12,,,,55,0
17347,control_change,0,0,9,,,,,,,,,13,11,64,,,
17347,note_on,30,0,9,,,,,,,,,13,,,,55,0
17350,control_change,0,0,3,,,,,,,,,3,11,64,,,
17350,note_on,30,0,3,,,,,,,,,3,,,,55,0
17351,note_on,30,0,10,,,,,,,,,14,,,,43,0
17351,control_change,0,0,10,,,,,,,,,14,11,64,,,
17370,control_change,30,0,6,,,,,,,,,10,11,64,,,
17372,control_change,30,0,1,,,,,,,,,0,11,62,,,
17373,control_change,30,0,7,,,,,,,,,11,11,64,,,
17375,control_change,30,0,2,,,,,,,,,1,11,62,,,
17375,control_change,30,0,8,,,,,,,,,12,11,64,,,
17377,control_change,30,0,9,,,,,,,,,13,11,64,,,
17380,control_change,30,0,3,,,,,,,,,3,11,64,,,
17381,control_change,30,0,10,,,,,,,,,14,11,64,,,
17400,set_tempo,120,1,0,,,,,,251572,,,,,,,,
17400,note_on,0,0,6,,,,,,,,,10,,,,69,100
17400,control_change,30,0,6,,,,,,,,,10,11,65,,,
17402,control_change,30,0,1,,,,,,,,,0,11,63,,,
17402,note_on,0,0,1,,,,,,,,,0,,,,81,83
17403,note_on,0,0,7,,,,,,,,,11,,,,60,100
17403,control_change,30,0,7,,,,,,,,,11,11,65,,,
17405,control_change,30,0,2,,,,,,,,,1,11,63,,,
17405,note_on,0,0,2,,,,,,,,,1,,,,72,83
17405,note_on,0,0,2,,,,,,,,,1,,,,69,83
17405,control_change,30,0,8,,,,,,,,,12,11,65,,,
17405,note_on,0,0,8,,,,,,,,,12,,,,53,98
17407,control_change,30,0,9,,,,,,,,,13,11,65,,,
17407,note_on,0,0,9,,,,,,,,,13,,,,53,89
17410,note_on,0,0,3,,,,,,,,,3,,,,53,83
17410,control_change,30,0,3,,,,,,,,,3,11,65,,,
17411,control_change,30,0,10,,,,,,,,,14,11,65,,,
17411,note_on,0,0,10,,,,,,,,,14,,,,41,83
17430,control_change,30,0,6,,,,,,,,,10,11,66,,,
17432,control_change,30,0,1,,,,,,,,,0,11,64,,,
17433,control_change,30,0,7,,,,,,,,,11,11,66,,,
17435,control_change,30,0,2,,,,,,,,,1,11,64,,,
17435,control_change,30,0,8,,,,,,,,,12,11,66,,,
17437,control_change,30,0,9,,,,,,,,,13,11,66,,,
17440,control_change,30,0,3,,,,,,,,,3,11,66,,,
17441,control_change,30,0,10,,,,,,,,,14,11,66,,,
17460,control_change,0,0,6,,,,,,,,,10,11,66,,,
17460,note_on,30,0,6,,,,,,,,,10,,,,69,0
17462,control_change,0,0,1,,,,,,,,,0,11,64,,,
17462,note_on,30,0,1,,,,,,,,,0,,,,81,0
17463,control_change,0,0,7,,,,,,,,,11,11,66,,,
17463,note_on,30,0,7,,,,,,,,,11,,,,60,0
17465,note_on,30,0,2,,,,,,,,,1,,,,69,0
17465,control_change,0,0,2,,,,,,,,,1,11,64,,,
17465,note_on,30,0,8,,,,,,,,,12,,,,53,0
17465,control_change,0,0,8,,,,,,,,,12,11,66,,,
17465,note_on,0,0,2,,,,,,,,,1,,,,72,0
17467,control_change,0,0,9,,,,,,,,,13,11,66,,,
17467,note_on,30,0,9,,,,,,,,,13,,,,53,0
17470,control_change,0,0,3,,,,,,,,,3,11,66,,,
17470,note_on,30,0,3,,,,,,,,,3,,,,53,0
17471,control_change,0,0,10,,,,,,,,,14,11,66,,,
17471,note_on,30,0,10,,,,,,,,,14,,,,41,0
17490,control_change,30,0,6,,,,,,,,,10,11,67,,,
17492,control_change,30,0,1,,,,,,,,,0,11,64,,,
17493,control_change,30,0,7,,,,,,,,,11,11,67,,,
17495,control_change,30,0,8,,,,,,,,,12,11,67,,,
17495,control_change,30,0,2,,,,,,,,,1,11,64,,,
17497,control_change,30,0,9,,,,,,,,,13,11,67,,,
17500,control_change,30,0,3,,,,,,,,,3,11,67,,,
17501,control_change,30,0,10,,,,,,,,,14,11,67,,,
17520,control_change,30,0,6,,,,,,,,,10,11,68,,,
