tick,type,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,time,meta,track,key,tempo,port,program,channel,control,value,note,velocity
7185,note_on,,,,,0,0,1,,,,,0,,,66,0
7185,note_on,,,,,45,0,1,,,,,0,,,74,0
7185,note_on,,,,,0,0,1,,,,,0,,,62,0
7185,note_on,,,,,45,0,2,,,,,0,,,59,0
7195,control_change,,,,,10,0,1,,,,,0,64,0,,
7200,note_on,,,,,0,0,1,,,,,0,,,66,116
7200,control_change,,,,,0,0,1,,,,,0,64,95,,
7200,note_on,,,,,0,0,1,,,,,0,,,71,116
7200,note_on,,,,,15,0,2,,,,,0,,,50,114
7200,note_on,,,,,0,0,2,,,,,0,,,59,114
7200,note_on,,,,,5,0,1,,,,,0,,,62,116
7200,note_on,,,,,0,0,2,,,,,0,,,54,114
7290,note_on,,,,,90,0,2,,,,,0,,,59,0
7290,note_on,,,,,0,0,1,,,,,0,,,62,0
7290,note_on,,,,,0,0,1,,,,,0,,,66,0
7290,note_on,,,,,90,0,1,,,,,0,,,71,0
7290,note_on,,,,,0,0,2,,,,,0,,,50,0
7290,note_on,,,,,0,0,2,,,,,0,,,54,0
7320,note_on,,,,,30,0,1,,,,,0,,,62,99
7320,note_on,,,,,0,0,1,,,,,0,,,71,99
7320,note_on,,,,,0,0,1,,,,,0,,,66,99
7320,note_on,,,,,0,0,2,,,,,0,,,59,101
7320,note_on,,,,,0,0,2,,,,,0,,,54,101
7320,note_on,,,,,30,0,2,,,,,0,,,50,101
7410,note_on,,,,,0,0,1,,,,,0,,,62,0
7410,note_on,,,,,0,0,1,,,,,0,,,66,0
7410,note_on,,,,,90,0,1,,,,,0,,,71,0
7410,note_on,,,,,90,0,2,,,,,0,,,59,0
7410,note_on,,,,,0,0,2,,,,,0,,,54,0
7410,note_on,,,,,0,0,2,,,,,0,,,50,0
7440,note_on,,,,,0,0,2,,,,,0,,,59,84
7440,note_on,,,,,0,0,2,,,,,0,,,54,84
7440,note_on,,,,,30,0,2,,,,,0,,,50,84
7440,note_on,,,,,30,0,1,,,,,0,,,62,83
7440,note_on,,,,,0,0,1,,,,,0,,,66,83
7440,note_on,,,,,0,0,1,,,,,0,,,71,83
7530,note_on,,,,,90,0,2,,,,,0,,,59,0
7530,note_on,,,,,90,0,1,,,,,0,,,71,0
7530,note_on,,,,,0,0,1,,,,,0,,,66,0
7530,note_on,,,,,0,0,1,,,,,0,,,62,0
7530,note_on,,,,,0,0,2,,,,,0,,,54,0
7530,note_on,,,,,0,0,2,,,,,0,,,50,0
7540,set_tempo,,,,,700,1,0,,353148,,,,,,,
7555,control_change,,,,,25,0,1,,,,,0,64,0,,
7560,note_on,,,,,30,0,2,,,,,0,,,42,127
7560,control_change,,,,,0,0,1,,,,,0,64,95,,
7560,note_on,,,,,0,0,1,,,,,0,,,73,127
7560,note_on,,,,,0,0,1,,,,,0,,,64,127
7560,note_on,,,,,5,0,1,,,,,0,,,66,127
7560,note_on,,,,,0,0,2,,,,,0,,,54,127
7570,set_tempo,,,,,30,1,0,,354191,,,,,,,
7580,set_tempo,,,,,10,1,0,,355239,,,,,,,
7590,note_on,,,,,30,0,1,,,,,0,,,58,127
7600,set_tempo,,,,,20,1,0,,356294,,,,,,,
7610,set_tempo,,,,,10,1,0,,358422,,,,,,,
7620,set_tempo,,,,,10,1,0,,359496,,,,,,,
7640,set_tempo,,,,,20,1,0,,360576,,,,,,,
7650,note_on,,,,,0,0,1,,,,,0,,,73,0
7650,note_on,,,,,0,0,1,,,,,0,,,64,0
7650,note_on,,,,,0,0,1,,,,,0,,,66,0
7650,note_on,,,,,60,0,1,,,,,0,,,58,0
7650,set_tempo,,,,,10,1,0,,361663,,,,,,,
7650,note_on,,,,,0,0,2,,,,,0,,,42,0
7650,note_on,,,,,90,0,2,,,,,0,,,54,0
7670,set_tempo,,,,,20,1,0,,363856,,,,,,,
7680,note_on,,,,,30,0,2,,,,,0,,,54,78
7680,note_on,,,,,0,0,1,,,,,0,,,66,82
7680,note_on,,,,,0,0,1,,,,,0,,,73,82
7680,note_on,,,,,0,0,2,,,,,0,,,58,78
7680,note_on,,,,,30,0,1,,,,,0,,,64,82
7680,set_tempo,,,,,10,1,0,,364963,,,,,,,
7690,set_tempo,,,,,10,1,0,,367197,,,,,,,
7710,set_tempo,,,,,20,1,0,,368324,,,,,,,
7720,set_tempo,,,,,10,1,0,,369458,,,,,,,
7725,note_on,,,,,0,0,1,,,,,0,,,66,0
7725,note_on,,,,,45,0,1,,,,,0,,,73,0
7725,note_on,,,,,0,0,1,,,,,0,,,64,0
7725,note_on,,,,,45,0,2,,,,,0,,,58,0
7725,note_on,,,,,0,0,2,,,,,0,,,54,0
7730,set_tempo,,,,,10,1,0,,370599,,,,,,,
7740,note_on,,,,,15,0,1,,,,,0,,,64,95
7740,note_on,,,,,0,0,1,,,,,0,,,66,95
7740,note_on,,,,,0,0,1,,,,,0,,,73,95
7740,note_on,,,,,15,0,2,,,,,0,,,54,91
7740,set_tempo,,,,,10,1,0,,371747,,,,,,,
7740,note_on,,,,,0,0,2,,,,,0,,,58,91
7760,set_tempo,,,,,20,1,0,,372902,,,,,,,
7770,set_tempo,,,,,10,1,0,,374064,,,,,,,
7785,note_on,,,,,0,0,1,,,,,0,,,64,0
7785,note_on,,,,,0,0,1,,,,,0,,,66,0
7785,note_on,,,,,45,0,1,,,,,0,,,73,0
7785,note_on,,,,,45,0,2,,,,,0,,,58,0
7785,note_on,,,,,0,0,2,,,,,0,,,54,0
7790,set_tempo,,,,,20,1,0,,376411,,,,,,,
7800,set_tempo,,,,,10,1,0,,378787,,,,,,,
7800,note_on,,,,,0,0,2,,,,,0,,,58,98
7800,note_on,,,,,0,0,1,,,,,0,,,73,104
7800,note_on,,,,,15,0,2,,,,,0,,,54,98
7800,note_on,,,,,15,0,1,,,,,0,,,64,104
7800,note_on,,,,,0,0,1,,,,,0,,,66,104
7810,set_tempo,,,,,10,1,0,,379987,,,,,,,
7845,note_on,,,,,0,0,2,,,,,0,,,54,0
7845,note_on,,,,,0,0,1,,,,,0,,,66,0
7845,note_on,,,,,45,0,1,,,,,0,,,73,0
7845,note_on,,,,,0,0,1,,,,,0,,,64,0
7845,note_on,,,,,45,0,2,,,,,0,,,58,0
7860,note_on,,,,,15,0,2,,,,,0,,,54,107
7860,note_on,,,,,15,0,1,,,,,0,,,64,117
7860,note_on,,,,,0,0,1,,,,,0,,,66,117
7860,note_on,,,,,0,0,1,,,,,0,,,73,117
7860,note_on,,,,,0,0,2,,,,,0,,,58,107
7900,set_tempo,,,,,90,1,0,,396301,,,,,,,
7905,note_on,,,,,0,0,2,,,,,0,,,54,0
7905,note_on,,,,,45,0,2,,,,,0,,,58,0
7905,note_on,,,,,0,0,1,,,,,0,,,66,0
7905,note_on,,,,,45,0,1,,,,,0,,,73,0
7905,note_on,,,,,0,0,1,,,,,0,,,64,0
7915,control_change,,,,,10,0,1,,,,,0,64,0,,
7920,note_on,,,,,5,0,1,,,,,0,,,58,123
7920,note_on,,,,,0,0,1,,,,,0,,,64,123
7920,control_change,,,,,0,0,1,,,,,0,64,95,,
7920,note_on,,,,,0,0,1,,,,,0,,,66,123
7920,set_tempo,,,,,20,1,0,,346020,,,,,,,
7920,note_on,,,,,15,0,2,,,,,0,,,49,118
7920,note_on,,,,,0,0,2,,,,,0,,,54,118
7925,set_tempo,,,,,5,1,0,,357355,,,,,,,
7930,set_tempo,,,,,5,1,0,,363856,,,,,,,
8110,set_tempo,,,,,180,1,0,,366076,,,,,,,
8140,set_tempo,,,,,30,1,0,,364963,,,,,,,
8160,set_tempo,,,,,20,1,0,,362756,,,,,,,
8180,set_tempo,,,,,20,1,0,,361663,,,,,,,
8190,set_tempo,,,,,10,1,0,,360576,,,,,,,
8210,set_tempo,,,,,20,1,0,,359496,,,,,,,
8230,set_tempo,,,,,20,1,0,,358422,,,,,,,
8250,note_on,,,,,330,0,1,,,,,0,,,66,0
8250,note_on,,,,,0,0,1,,,,,0,,,64,0
8250,note_on,,,,,330,0,2,,,,,0,,,54,0
8250,note_on,,,,,0,0,2,,,,,0,,,49,0
8250,note_on,,,,,0,0,1,,,,,0,,,58,0
8260,set_tempo,,,,,30,1,0,,357355,,,,,,,
8275,control_change,,,,,25,0,1,,,,,0,64,0,,
8280,note_on,,,,,0,0,2,,,,,0,,,54,127
8280,note_on,,,,,0,0,1,,,,,0,,,71,127
8280,note_on,,,,,0,0,1,,,,,0,,,66,127
8280,note_on,,,,,0,0,1,,,,,0,,,62,127
8280,note_on,,,,,5,0,1,,,,,0,,,59,127
8280,note_on,,,,,30,0,2,,,,,0,,,47,127
8280,control_change,,,,,0,0,1,,,,,0,64,96,,
8280,note_on,,,,,0,0,2,,,,,0,,,50,127
8300,set_tempo,,,,,40,1,0,,356294,,,,,,,
8330,set_tempo,,,,,30,1,0,,355239,,,,,,,
8370,control_change,,,,,90,0,1,,,,,0,64,0,,
8380,set_tempo,,,,,50,1,0,,354191,,,,,,,
8400,note_on,,,,,30,0,1,,,,,0,,,71,0
8400,note_on,,,,,0,0,2,,,,,0,,,54,99
8400,note_on,,,,,0,0,2,,,,,0,,,50,99
8400,note_on,,,,,0,0,2,,,,,0,,,47,99
8400,note_on,,,,,0,0,2,,,,,0,,,47,0
8400,note_on,,,,,0,0,2,,,,,0,,,50,0
8400,note_on,,,,,120,0,2,,,,,0,,,54,0
8400,note_on,,,,,0,0,1,,,,,0,,,59,0
8400,note_on,,,,,0,0,1,,,,,0,,,62,0
8400,note_on,,,,,0,0,1,,,,,0,,,66,0
8400,note_on,,,,,0,0,1,,,,,0,,,58,100
8400,note_on,,,,,0,0,1,,,,,0,,,70,100
8400,set_tempo,,,,,20,1,0,,352112,,,,,,,
8445,note_on,,,,,0,0,2,,,,,0,,,47,0
8445,note_on,,,,,45,0,1,,,,,0,,,70,0
8445,note_on,,,,,0,0,1,,,,,0,,,58,0
8445,note_on,,,,,45,0,2,,,,,0,,,54,0
