tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,program,channel,control,value,pitch,note,velocity
71871,note_on,0,0,7,,,,,,,,6,,,,60,0
71873,note_on,110,0,5,,,,,,,,4,,,,60,0
71873,note_on,0,0,5,,,,,,,,4,,,,48,0
71874,note_on,110,0,6,,,,,,,,5,,,,67,0
71874,note_on,0,0,6,,,,,,,,5,,,,63,0
71875,note_on,115,0,1,,,,,,,,0,,,,75,0
71875,note_on,0,0,1,,,,,,,,0,,,,84,0
71876,note_on,0,0,2,,,,,,,,1,,,,72,0
71876,note_on,115,0,2,,,,,,,,1,,,,75,0
71877,note_on,115,0,3,,,,,,,,2,,,,72,0
71877,note_on,0,0,3,,,,,,,,2,,,,63,0
71878,note_on,110,0,8,,,,,,,,15,,,,48,0
71880,note_on,30,0,9,,,,,,,,10,,,,68,0
71880,set_tempo,120,1,0,,,,,,268456,,,,,,,
71880,note_on,0,0,9,,,,,,,,10,,,,67,115
71880,note_on,0,0,1,,,,,,,,0,,,,75,85
71880,note_on,5,0,1,,,,,,,,0,,,,79,85
71881,note_on,5,0,2,,,,,,,,1,,,,75,85
71881,note_on,0,0,2,,,,,,,,1,,,,67,85
71882,note_on,5,0,3,,,,,,,,2,,,,67,85
71882,note_on,0,0,3,,,,,,,,2,,,,63,85
71885,note_on,0,0,4,,,,,,,,3,,,,55,85
71885,note_on,30,0,4,,,,,,,,3,,,,56,0
71886,note_on,0,0,12,,,,,,,,13,,,,55,98
71886,note_on,30,0,12,,,,,,,,13,,,,56,0
71889,note_on,30,0,13,,,,,,,,14,,,,44,0
71889,note_on,0,0,13,,,,,,,,14,,,,43,91
71921,note_on,0,0,10,,,,,,,,11,,,,55,0
71921,note_on,100,0,10,,,,,,,,11,,,,63,0
71923,note_on,100,0,11,,,,,,,,12,,,,60,0
71923,note_on,0,0,11,,,,,,,,12,,,,63,0
71940,note_on,0,0,9,,,,,,,,10,,,,66,115
71940,note_on,60,0,9,,,,,,,,10,,,,67,0
71941,note_on,0,0,10,,,,,,,,11,,,,63,100
71941,note_on,20,0,10,,,,,,,,11,,,,55,100
71943,note_on,0,0,11,,,,,,,,12,,,,63,99
71943,note_on,20,0,11,,,,,,,,12,,,,60,99
71945,note_on,0,0,4,,,,,,,,3,,,,54,85
71945,note_on,60,0,4,,,,,,,,3,,,,55,0
71946,note_on,60,0,12,,,,,,,,13,,,,55,0
71946,note_on,0,0,12,,,,,,,,13,,,,54,98
71949,note_on,0,0,13,,,,,,,,14,,,,42,91
71949,note_on,60,0,13,,,,,,,,14,,,,43,0
71970,note_on,0,0,9,,,,,,,,10,,,,67,115
71970,note_on,30,0,9,,,,,,,,10,,,,66,0
71975,note_on,0,0,4,,,,,,,,3,,,,55,85
71975,note_on,30,0,4,,,,,,,,3,,,,54,0
71976,note_on,0,0,12,,,,,,,,13,,,,55,98
71976,note_on,30,0,12,,,,,,,,13,,,,54,0
71978,note_on,98,0,1,,,,,,,,0,,,,75,0
71978,note_on,0,0,1,,,,,,,,0,,,,79,0
71979,note_on,0,0,13,,,,,,,,14,,,,43,91
71979,note_on,0,0,2,,,,,,,,1,,,,75,0
71979,note_on,30,0,13,,,,,,,,14,,,,42,0
71979,note_on,98,0,2,,,,,,,,1,,,,67,0
71980,note_on,98,0,3,,,,,,,,2,,,,63,0
71980,note_on,0,0,3,,,,,,,,2,,,,67,0
