tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,port,program,channel,control,value,pitch,note,velocity
258909,control_change,12,0,4,,,,,,,,,3,11,97,,,
258911,control_change,16,0,8,,,,,,,,,7,11,93,,,
258912,control_change,12,0,11,,,,,,,,,10,11,94,,,
258915,control_change,12,0,12,,,,,,,,,11,11,94,,,
258917,control_change,16,0,9,,,,,,,,,8,11,93,,,
258920,control_change,24,0,13,,,,,,,,,12,11,94,,,
258922,control_change,16,0,7,,,,,,,,,6,11,92,,,
258924,control_change,24,0,14,,,,,,,,,13,11,94,,,
258927,control_change,16,0,8,,,,,,,,,7,11,92,,,
258933,control_change,16,0,9,,,,,,,,,8,11,92,,,
258936,control_change,24,0,11,,,,,,,,,10,11,93,,,
258937,control_change,48,0,1,,,,,,,,,0,11,85,,,
258938,control_change,16,0,7,,,,,,,,,6,11,91,,,
258939,control_change,24,0,12,,,,,,,,,11,11,93,,,
258940,control_change,48,0,2,,,,,,,,,1,11,85,,,
258941,control_change,48,0,3,,,,,,,,,2,11,85,,,
258943,control_change,16,0,8,,,,,,,,,7,11,91,,,
258944,control_change,24,0,13,,,,,,,,,12,11,93,,,
258945,control_change,36,0,4,,,,,,,,,3,11,96,,,
258948,control_change,24,0,14,,,,,,,,,13,11,93,,,
258949,control_change,16,0,9,,,,,,,,,8,11,91,,,
258954,control_change,16,0,7,,,,,,,,,6,11,90,,,
258959,control_change,16,0,8,,,,,,,,,7,11,90,,,
258960,set_tempo,120,1,0,,,,,,300000,,,,,,,,
258960,note_on,24,0,11,,,,,,,,,10,,,,71,93
258960,control_change,0,0,11,,,,,,,,,10,11,92,,,
258963,control_change,24,0,12,,,,,,,,,11,11,92,,,
258963,note_on,0,0,12,,,,,,,,,11,,,,67,93
258965,control_change,16,0,9,,,,,,,,,8,11,90,,,
258968,control_change,24,0,13,,,,,,,,,12,11,92,,,
258970,control_change,16,0,7,,,,,,,,,6,11,89,,,
258972,control_change,24,0,14,,,,,,,,,13,11,92,,,
258973,control_change,36,0,1,,,,,,,,,0,11,84,,,
258975,control_change,16,0,8,,,,,,,,,7,11,89,,,
258976,control_change,36,0,2,,,,,,,,,1,11,84,,,
258977,control_change,36,0,3,,,,,,,,,2,11,84,,,
258981,control_change,16,0,9,,,,,,,,,8,11,89,,,
258981,control_change,36,0,4,,,,,,,,,3,11,95,,,
258984,control_change,24,0,11,,,,,,,,,10,11,91,,,
258986,control_change,16,0,7,,,,,,,,,6,11,88,,,
258987,control_change,24,0,12,,,,,,,,,11,11,91,,,
258991,control_change,16,0,8,,,,,,,,,7,11,88,,,
258992,control_change,24,0,13,,,,,,,,,12,11,91,,,
258996,control_change,24,0,14,,,,,,,,,13,11,91,,,
258997,control_change,16,0,9,,,,,,,,,8,11,88,,,
259002,control_change,16,0,7,,,,,,,,,6,11,87,,,
