tick,type,time,meta,track,tempo,note,velocity,channel
3330,note_on,0,0,2,,81,64,0
3330,note_off,30,0,2,,76,64,0
3360,note_off,30,0,2,,81,64,0
3360,note_on,0,0,2,,89,64,0
3360,note_on,0,0,1,,59,64,0
3360,note_on,0,0,1,,52,64,0
3360,note_off,0,0,1,,60,64,0
3360,note_off,120,0,1,,57,64,0
3360,note_on,0,0,1,,57,64,0
3390,note_on,0,0,2,,74,64,0
3390,note_off,30,0,2,,89,64,0
3420,note_off,30,0,2,,74,64,0
3420,note_on,0,0,2,,87,64,0
3450,note_on,0,0,2,,77,64,0
3450,note_off,30,0,2,,87,64,0
3480,note_on,0,0,2,,88,64,0
3480,note_off,30,0,2,,77,64,0
3480,note_off,120,0,1,,57,64,0
3480,note_on,0,0,1,,56,64,0
3510,note_on,0,0,2,,76,64,0
3510,note_off,30,0,2,,88,64,0
3540,note_on,0,0,2,,76,64,0
3540,note_off,30,0,2,,76,64,0
3570,note_on,0,0,2,,74,64,0
3570,note_off,30,0,2,,76,64,0
3600,note_off,120,0,1,,52,64,0
3600,note_on,0,0,1,,52,64,0
3600,note_on,0,0,1,,45,64,0
3600,note_off,0,0,1,,56,64,0
3600,note_off,0,0,1,,59,64,0
3600,note_on,0,0,1,,57,64,0
3600,note_on,0,0,2,,74,64,0
3600,note_off,30,0,2,,74,64,0
3630,note_on,0,0,2,,76,64,0
3630,note_off,30,0,2,,74,64,0
3660,note_off,30,0,2,,76,64,0
3660,note_on,0,0,2,,72,64,0
3690,note_off,30,0,2,,72,64,0
3690,note_on,0,0,2,,76,64,0
3720,note_off,120,0,1,,45,64,0
3720,note_on,0,0,2,,71,64,0
3720,note_off,0,0,1,,57,64,0
3720,note_off,0,0,1,,52,64,0
3720,note_off,30,0,2,,76,64,0
3750,note_on,0,0,2,,76,64,0
3750,note_off,30,0,2,,71,64,0
3780,note_off,30,0,2,,76,64,0
3780,note_on,0,0,2,,69,64,0
3810,note_off,30,0,2,,69,64,0
3810,note_on,0,0,2,,76,64,0
3840,note_on,0,0,1,,61,64,0
3840,note_off,30,0,2,,76,64,0
3840,note_on,0,0,2,,69,64,0
3840,note_on,120,0,1,,57,64,0
3870,note_off,30,0,2,,69,64,0
3870,note_on,0,0,2,,76,64,0
3900,note_off,30,0,2,,76,64,0
3900,note_on,0,0,2,,73,64,0
3930,note_off,30,0,2,,73,64,0
3930,note_on,0,0,2,,69,64,0
3960,note_on,0,0,1,,62,64,0
3960,note_on,0,0,1,,59,64,0
3960,note_off,30,0,2,,69,64,0
3960,note_off,0,0,1,,61,64,0
3960,note_on,0,0,2,,68,64,0
3960,note_off,120,0,1,,57,64,0
3990,note_off,30,0,2,,68,64,0
3990,note_on,0,0,2,,77,64,0
3990,note_off,0,0,1,,62,64,0
3990,note_off,30,0,1,,59,64,0
4020,note_off,30,0,2,,77,64,0
4020,note_on,0,0,2,,67,64,0
4020,note_on,0,0,1,,64,64,0
4020,note_on,30,0,1,,61,64,0
4050,note_off,30,0,1,,61,64,0
4050,note_off,0,0,1,,64,64,0
4050,note_on,0,0,2,,81,64,0
4050,note_off,30,0,2,,67,64,0
4080,note_off,30,0,2,,81,64,0
4080,note_on,0,0,2,,65,64,0
4080,note_on,30,0,1,,62,64,0
4080,note_on,0,0,1,,65,64,0
4110,note_on,0,0,2,,81,64,0
4110,note_off,30,0,2,,65,64,0
4140,note_on,0,0,2,,80,64,0
4140,note_off,30,0,2,,81,64,0
4170,note_on,0,0,2,,81,64,0
4170,note_off,30,0,2,,80,64,0
4200,note_off,120,0,1,,62,64,0
4200,note_off,0,0,1,,65,64,0
4200,note_on,0,0,1,,64,64,0
4200,note_on,0,0,1,,60,64,0
4200,note_off,30,0,2,,81,64,0
4200,note_on,0,0,2,,82,64,0
4230,note_off,30,0,2,,82,64,0
4230,note_on,0,0,2,,90,64,0
4260,note_off,30,0,2,,90,64,0
4260,note_on,0,0,2,,90,64,0
4275,note_off,15,0,2,,90,64,0
4290,note_on,15,0,2,,90,64,0
4305,note_off,15,0,2,,90,64,0
4320,note_on,15,0,2,,71,64,0
4320,note_on,0,0,1,,63,64,0
4320,note_on,0,0,1,,59,64,0
4320,note_off,0,0,1,,64,64,0
4320,note_off,120,0,1,,60,64,0
4350,note_off,30,0,2,,71,64,0
4350,note_on,0,0,2,,78,64,0
4380,note_off,30,0,2,,78,64,0
4380,note_on,0,0,2,,75,64,0
4410,note_on,0,0,2,,71,64,0
4410,note_off,30,0,2,,75,64,0
4440,note_on,0,0,1,,64,64,0
4440,note_on,0,0,2,,70,64,0
4440,note_off,30,0,2,,71,64,0
4440,note_off,0,0,1,,63,64,0
4440,note_off,120,0,1,,59,64,0
4440,note_on,0,0,1,,61,64,0
4470,note_on,0,0,2,,79,64,0
4470,note_off,0,0,1,,64,64,0
4470,note_off,30,0,1,,61,64,0
4470,note_off,30,0,2,,70,64,0
4500,note_on,0,0,1,,66,64,0
4500,note_on,30,0,1,,63,64,0
4500,note_off,30,0,2,,79,64,0
4500,note_on,0,0,2,,69,64,0
4530,note_off,30,0,2,,69,64,0
4530,note_off,30,0,1,,63,64,0
4530,note_off,0,0,1,,66,64,0
4530,note_on,0,0,2,,83,64,0
4560,note_off,30,0,2,,83,64,0
4560,note_on,30,0,1,,64,64,0
4560,note_on,0,0,1,,68,64,0
4590,note_on,30,0,2,,83,64,0
4620,note_off,30,0,2,,83,64,0
4620,note_on,0,0,2,,80,64,0
4650,note_off,30,0,2,,80,64,0
4650,note_on,0,0,2,,75,64,0
4680,note_on,0,0,2,,76,64,0
4680,note_off,120,0,1,,64,64,0
4680,note_off,0,0,1,,68,64,0
4680,note_on,0,0,1,,64,64,0
4680,note_on,0,0,1,,67,64,0
4680,note_off,30,0,2,,75,64,0
4710,note_on,0,0,2,,91,64,0
4710,note_off,30,0,2,,76,64,0
4740,note_on,0,0,1,,65,64,0
4740,note_on,0,0,1,,71,64,0
4740,note_off,30,0,2,,91,64,0
4740,note_on,0,0,2,,91,64,0
4740,note_off,60,0,1,,64,64,0
4740,note_off,0,0,1,,67,64,0
4755,note_off,15,0,2,,91,64,0
